
NOTICE | wrapper  | 2016/03/22 21:44:27 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/22 21:44:27 | 
STATUS | wrapper  | 2016/03/22 21:44:27 | 
STATUS | wrapper  | 2016/03/22 21:44:27 | Launching a JVM...
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperSimpleApp Error: Not enough argments.  Minimum 1 required.
INFO   | jvm 1    | 2016/03/22 21:44:27 | 
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4242)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/03/22 21:44:27 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/03/22 21:44:28 | <-- Wrapper Stopped
